Education,Marital_Status,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Response,Complain,Country,Age,Dependents,Total_Food,Length_customer_yrs,Tot_Num_Purchases
Graduation,Divorced,84835.0,0,0,0,189,104,379,111,189,218,1,4,4,6,1,0,0,0,0,0,1,0,SP,52,0,972,8.08,14.0
Graduation,Single,57091.0,0,0,0,464,5,64,7,0,37,1,7,3,7,5,0,0,0,0,1,1,0,CA,61,0,540,8.08,17.0
Graduation,Couple,67267.0,0,1,0,134,11,59,15,2,30,1,3,2,5,2,0,0,0,0,0,0,0,US,64,1,221,8.18,10.0
Graduation,Couple,32474.0,1,1,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,AUS,55,2,11,8.18,3.0
Graduation,Single,21474.0,1,0,0,6,16,24,11,0,34,2,3,1,2,7,1,0,0,0,0,1,0,SP,33,1,57,8.27,6.0
PhD,Single,71691.0,0,0,0,336,130,411,240,32,43,1,4,7,5,2,0,0,0,0,0,1,0,SP,64,0,1149,8.33,16.0
2n Cycle,Couple,63564.0,0,0,0,769,80,252,15,34,65,1,10,10,7,6,1,0,0,0,0,1,0,GER,68,0,1150,8.46,27.0
Graduation,Couple,44931.0,0,1,0,78,0,11,0,0,7,1,2,1,3,5,0,0,0,0,0,0,0,SP,55,1,89,8.49,6.0
PhD,Couple,65324.0,0,1,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,US,68,1,539,8.51,17.0
PhD,Couple,65324.0,0,1,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,IND,68,1,539,8.51,17.0
2n Cycle,Couple,81044.0,0,0,0,450,26,535,73,98,26,1,5,6,10,1,0,0,0,0,0,0,0,US,75,0,1182,8.55,21.0
Master,Couple,62499.0,1,0,0,140,4,61,0,13,4,2,3,1,6,4,0,0,0,0,0,0,0,SP,43,1,218,8.6,10.0
PhD,Widow,67786.0,0,0,0,431,82,441,80,20,102,1,3,6,6,1,0,0,0,0,0,1,0,IND,63,0,1054,8.61,15.0
Graduation,Couple,26872.0,0,0,0,3,10,8,3,16,32,1,1,1,2,6,0,0,0,0,0,0,0,CA,41,0,40,8.75,4.0
Graduation,Couple,4428.0,0,1,0,16,4,12,2,4,321,0,25,0,0,1,0,0,0,0,0,0,0,SP,53,1,38,8.78,25.0
Graduation,Couple,54809.0,1,1,0,63,6,57,13,13,22,4,2,1,5,4,0,0,0,0,0,0,0,SP,45,2,152,8.84,8.0
Graduation,Couple,54809.0,1,1,0,63,6,57,13,13,22,4,2,1,5,4,0,0,0,0,0,1,0,SP,45,2,152,8.84,8.0
PhD,Divorced,32173.0,0,1,0,18,0,2,0,0,2,1,1,0,3,4,0,0,0,0,0,0,0,SP,64,1,20,8.96,4.0
2n Cycle,Single,47823.0,0,1,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0,CA,62,1,62,8.98,5.0
Master,Single,30523.0,2,1,0,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,0,CA,64,3,8,9.04,3.0
Master,Couple,36634.0,0,1,0,213,9,76,4,3,30,3,5,2,5,7,0,0,0,0,0,0,0,SA,68,1,305,9.13,12.0
Master,Single,43456.0,0,1,0,275,11,68,25,7,7,3,5,1,8,5,0,0,0,0,0,0,0,IND,56,1,386,9.31,14.0
Master,Couple,40662.0,1,0,0,40,2,23,0,4,23,2,2,1,3,4,0,0,0,0,0,0,0,GER,43,1,69,9.34,6.0
PhD,Couple,49544.0,1,0,0,308,0,73,0,0,23,2,5,1,8,7,0,0,0,0,0,0,0,SP,46,1,381,9.42,14.0
Graduation,Single,57731.0,0,1,0,266,21,300,65,8,44,4,8,8,6,6,0,0,0,0,0,0,0,IND,53,1,660,9.64,22.0
Master,Single,33168.0,0,1,0,80,1,37,0,1,3,3,2,1,4,7,0,0,0,0,0,0,0,SP,57,1,119,9.76,7.0
Graduation,Couple,54450.0,1,1,0,454,0,171,8,19,32,12,9,2,8,8,0,0,0,0,0,0,0,SP,66,2,652,9.84,19.0
PhD,Widow,35340.0,1,1,1,27,0,12,0,1,5,2,2,0,3,5,0,0,0,0,0,0,0,SP,66,2,40,8.05,5.0
Graduation,Single,73170.0,0,0,1,184,174,256,50,30,32,1,5,4,6,2,0,0,0,0,0,0,0,CA,47,0,694,8.13,15.0
